排名,电影名,年份,类型,导演,票房
,,,,,
第 1 名,阿凡达,2009,科幻/动作,詹姆斯・卡梅隆,"2,923,706,026"
第 2 名,复仇者联盟4：终局之战,2019,科幻/动作,安东尼・罗素、乔・罗素,"2,799,439,100"
第 3 名,阿凡达2：水之道,2022,科幻/动作,詹姆斯・卡梅隆,"2,312,584,059"
第 4 名,泰坦尼克号,1997,灾难/爱情,詹姆斯・卡梅隆,"2,256,141,288"
第 5 名,星球大战：原力觉醒,2015,科幻/动作,J・J・艾布拉姆斯,"2,071,310,218"
第 6 名,复仇者联盟3：无限战争,2018,科幻/动作,安东尼・罗素、乔・罗素,"2,048,359,754"
第 7 名,蜘蛛侠：英雄无归,2021,科幻/动作,乔・沃茨,"1,921,847,111"
第 8 名,侏罗纪世界,2015,科幻/冒险,科林・特雷沃罗,"1,670,516,444"
第 9 名,狮子王,2019,动画/冒险,乔恩・费儒,"1,663,075,401"
第 10 名,复仇者联盟,2012,科幻/动作,乔斯・韦登,"1,520,538,536"
,,,,,
第 11 名,速度与激情7,2015,动作/犯罪,温子仁,"1,515,341,399"
第 12 名,壮志凌云2：独行侠,2022,动作,约瑟夫・科辛斯基,"1,493,491,858"
第 13 名,冰雪奇缘2,2019,动画/奇幻,克里斯・巴克、珍妮弗・李,"1,453,683,476"
第 14 名,复仇者联盟2：奥创纪元,2015,科幻/动作,乔斯・韦登,"1,405,018,048"
第 15 名,黑豹,2018,科幻/动作,瑞恩・库格勒,"1,349,926,083"
第 16 名,哈利・波特与死亡圣器（下）,2011,奇幻/冒险,大卫・叶茨,"1,342,359,942"
第 17 名,星球大战8：最后的绝地武士,2017,科幻/动作,莱恩・约翰逊,"1,334,407,706"
第 18 名,侏罗纪世界2,2018,科幻/冒险,胡安・安东尼奥・巴亚纳,"1,310,466,296"
第 19 名,冰雪奇缘,2013,动画/奇幻,克里斯・巴克、珍妮弗・李,"1,284,540,518"
第 20 名,美女与野兽,2017,奇幻/冒险,比尔・康顿,"1,266,115,964"
,,,,,
第 21 名,超人总动员2,2018,动画/喜剧,布拉德・伯德,"1,243,225,667"
第 22 名,速度与激情8,2017,动作/冒险,F・加里・格雷,"1,236,005,118"
第 23 名,钢铁侠3,2013,科幻/动作,沙恩・布莱克,"1,215,577,205"
第 24 名,小黄人大眼萌,2015,动画/喜剧,皮埃尔・柯芬、凯尔・巴尔达,"1,159,444,662"
第 25 名,美国队长3：英雄内战,2016,动作/科幻,安东尼・罗素、乔・罗素,"1,155,046,416"
第 26 名,海王,2018,科幻/动作,温子仁,"1,148,528,393"
第 27 名,指环王3：王者归来,2003,奇幻/动作,彼得・杰克逊,"1,146,457,748"
第 28 名,007：大破天幕杀机,2012,动作/枪战,萨姆・门德斯,"1,142,471,295"
第 29 名,蜘蛛侠：英雄远征,2019,科幻/动作,乔・沃茨,"1,131,927,996"
第 30 名,惊奇队长,2019,科幻/动作,安娜・波顿、瑞安・弗雷克,"1,131,416,446"
,,,,,
第 31 名,变形金刚3：月黑之时,2011,科幻/动作,迈克尔・贝,"1,123,794,079"
第 32 名,变形金刚4：绝迹重生,2014,科幻/动作,迈克尔・贝,"1,104,054,072"
第 33 名,蝙蝠侠：黑暗骑士崛起,2012,动作/惊悚,克里斯托弗・诺兰,"1,081,142,612"
第 34 名,小丑,2019,犯罪/惊悚,托德・菲利普斯,"1,074,419,384"
第 35 名,星球大战9：天行者崛起,2019,科幻/动作,J・J・艾布拉姆斯,"1,074,149,279"
第 36 名,玩具总动员4,2019,动画/喜剧,乔什・库雷,"1,073,394,593"
第 37 名,玩具总动员3,2010,动画/喜剧,李・昂克里奇,"1,066,970,811"
第 38 名,加勒比海盗2：聚魂棺,2006,奇幻/冒险,戈尔・维宾斯基,"1,066,179,747"
第 39 名,狮子王,1994,动画/冒险,罗杰・阿勒斯、罗伯・明科夫,"1,063,611,805"
第 40 名,星球大战外传：侠盗一号,2016,科幻/动作,加里斯・爱德华斯,"1,056,057,720"
,,,,,
第 41 名,阿拉丁,2019,奇幻/冒险,盖・瑞奇,"1,050,693,953"
第 42 名,加勒比海盗4：惊涛怪浪,2011,奇幻/冒险,罗伯・马歇尔,"1,045,713,802"
第 43 名,神偷奶爸3,2017,动画/喜剧,凯尔・巴尔达、皮埃尔・柯芬,"1,034,800,131"
第 44 名,侏罗纪公园,1993,科幻/冒险,史蒂文・斯皮尔伯格,"1,033,928,303"
第 45 名,海底总动员2：多莉去哪儿,2016,动画/喜剧,安德鲁・斯坦顿、安格斯・麦克莱恩,"1,028,570,942"
第 46 名,星球大战前传1：幽灵的威胁,1999,科幻/战争,乔治・卢卡斯,"1,027,082,707"
第 47 名,爱丽丝梦游仙境,2010,奇幻/冒险,蒂姆・波顿,"1,025,468,216"
第 48 名,疯狂动物城,2016,动画/喜剧,拜恩・霍华德、瑞奇・摩尔、杰拉德・布什,"1,024,121,104"
第 49 名,哈利・波特与魔法石,2001,奇幻/冒险,克里斯・哥伦布,"1,017,662,278"
第 50 名,霍比特人1：意外之旅,2012,奇幻/冒险,彼得・杰克逊,"1,017,003,568"
,,,,,
第 51 名,蝙蝠侠：黑暗骑士,2008,动作/冒险,克里斯托弗・诺兰,"1,005,973,645"
第 52 名,侏罗纪世界3：统治,2022,科幻/冒险,科林・特雷沃罗,"1,001,978,080"
第 53 名,哈利・波特与死亡圣器（上）,2010,奇幻/冒险,大卫・叶茨,"977,043,483"
第 54 名,神偷奶爸2,2013,动画/喜剧,皮艾尔・柯芬、克里斯・雷纳德,"970,766,005"
第 55 名,奇幻森林,2016,奇幻/冒险,乔恩・费儒,"966,554,929"
第 56 名,勇敢者游戏：决战丛林,2017,科幻/冒险,杰克・卡斯丹,"962,542,945"
第 57 名,霍比特人3：五军之战,2014,奇幻/战争,彼得・杰克逊,"962,182,865"
第 58 名,加勒比海盗3：世界的尽头,2007,奇幻/冒险,戈尔・弗宾斯盖,"960,996,492"
第 59 名,霍比特人2：史矛革之战,2013,奇幻/冒险,彼得・杰克逊,"959,007,513"
第 60 名,奇异博士2：疯狂多元宇宙,2022,科幻/动作,山姆・雷米,"955,775,804"
,,,,,
第 61 名,指环王2：双塔奇兵,2002,奇幻/战争,彼得・杰克逊,"947,495,095"
第 62 名,哈利・波特与凤凰社,2007,奇幻/冒险,大卫・叶茨,"942,172,396"
第 63 名,海底总动员,2003,动画/冒险,安德鲁・斯坦顿、李・昂克里奇,"940,352,645"
第 64 名,小黄人大眼萌：神偷奶爸前传,2022,动画,皮艾尔・柯芬,"939,628,210"
第 65 名,哈利・波特与混血王子,2009,奇幻/冒险,大卫・叶茨,"934,454,096"
第 66 名,怪物史瑞克2,2004,动画/冒险,安德鲁・亚当森、凯利・阿斯博瑞、康拉德・弗农,"928,760,770"
第 67 名,波西米亚狂想曲,2018,音乐/传记,布莱恩・辛格,"910,809,311"
第 68 名,,2021,战争,陈凯歌、徐克、林超贤,"902,540,935"
第 69 名,指环王1：魔戒再现,2001,奇幻/冒险,彼得・杰克逊,"898,094,742"
第 70 名,哈利・波特与火焰杯,2005,奇幻/冒险,迈克・纽维,"896,678,241"
,,,,,
第 71 名,蜘蛛侠3,2007,科幻/动作,山姆・雷米,"894,983,373"
第 72 名,冰川时代3：恐龙的黎明,2009,动画/冒险,卡洛斯・沙尔丹哈,"886,686,817"
第 73 名,007：幽灵党,2015,动作/枪战,萨姆・门德斯,"880,681,519"
